Year   Moose  Wolves
 1959  732   20
 1960  785   21
 1961  850   23
 1962  915   25
 1963  908   24
 1964  950   24
 1965 1052   22
 1966 1106   19
 1967 1215   17
 1968 1370   16
 1969 1558   15
 1970 1847   12
 1971 2174   13
 1972 2130   10
 1973 1986    7
 1974 1892    6
 1975 1771    8
 1976 1623    7
 1977 1460    6
 1978 1459    6
 1979 1811    6
 1980 2193    4
 1981 1962    4
 1982 1799    3
 1983 1741    2
 1984 1744    2
 1985 1785    1
 1986 1893    1
 1987 2453    0
 1988 2237    0
 1989 2054    0
 1990 1969    0
 1991 1951    0
 1992 1940    0
 1993 1921    0
 1994 2034    0
 1995 2656    0
 1996 2436    0
 1997 2180    0
 1998 2064    0
 1999 2071    0
 2000 2060    0
 2001 2084    0
 2002 1795    0
 2003 1875    0
 2004 2419    0
 2005 2329    0
 2006 2076    0
 2007 1979    0
 2008 1978    0
 2009 1971    0
 2010 1951    0
 2011 2095    0
 2012 2731    0
 2013 2595    0
 2014 2357    0
 2015 2271    0
 2016 2275    0
 2017 2275    0
 2018 2268    0
